Rk,Player,Age,MP,eFG%,FT%,TRB,AST,PTS,Team
13,Patrick Baldwin Jr.,20,3.7,.000,,1.0,0.3,0.0,Warriors
1,LeBron James,38,38.7,.546,.761,9.9,6.5,24.5,Lakers
2,Anthony Davis,29,38.0,.530,.852,14.1,2.6,22.6,Lakers
3,Austin Reaves,24,36.2,.564,.895,4.4,4.6,16.9,Lakers
4,D'Angelo Russell,26,29.6,.495,.769,2.9,4.6,13.3,Lakers
5,Dennis Schröder,29,26.1,.461,.821,1.9,2.9,7.4,Lakers
6,Rui Hachimura,24,24.3,.630,.882,3.6,0.6,12.2,Lakers
7,Jarred Vanderbilt,23,16.5,.458,.700,3.2,0.8,4.6,Lakers
8,Lonnie Walker IV,24,13.8,.592,.750,0.9,0.8,6.2,Lakers
9,Troy Brown Jr.,23,10.3,.393,,2.0,0.9,1.8,Lakers
10,Malik Beasley,26,8.3,.397,1.000,0.7,0.2,3.0,Lakers
11,Tristan Thompson,31,5.3,.455,.200,1.7,0.3,1.8,Lakers
12,Max Christie,19,3.7,.550,.500,0.8,0.3,1.4,Lakers
13,Wenyen Gabriel,25,3.7,.400,.667,0.9,0.0,1.0,Lakers
14,Shaquille Harrison,29,3.5,.643,.500,0.4,1.1,1.3,Lakers
15,Mo Bamba,24,3.3,.000,,1.0,0.3,0.0,Lakers
1,Anthony Edwards,21,36.0,.528,.756,5.8,4.4,24.6,Timberwolves
2,Karl-Anthony Towns,27,33.0,.565,.874,8.1,4.8,20.8,Timberwolves
3,D'Angelo Russell,26,32.9,.567,.856,3.1,6.2,17.9,Timberwolves
4,Mike Conley,35,31.4,.583,.863,3.1,5.0,14.0,Timberwolves
5,Rudy Gobert,30,30.7,.659,.644,11.6,1.2,13.4,Timberwolves
6,Jaden McDaniels,22,30.6,.591,.736,3.9,1.9,12.1,Timberwolves
7,Kyle Anderson,29,28.4,.553,.735,5.3,4.9,9.4,Timberwolves
8,Taurean Prince,28,22.1,.565,.844,2.4,1.6,9.1,Timberwolves
9,Austin Rivers,30,19.5,.538,.769,1.6,1.4,4.9,Timberwolves
10,Jaylen Nowell,23,19.3,.502,.778,2.6,2.0,10.8,Timberwolves
11,Naz Reid,23,18.4,.602,.677,4.9,1.1,11.5,Timberwolves
12,Jordan McLaughlin,26,15.8,.503,.833,1.4,3.4,3.7,Timberwolves
13,Nickeil Alexander-Walker,24,15.5,.488,.619,1.8,1.4,5.9,Timberwolves
14,Bryn Forbes,29,10.7,.446,1.000,0.6,0.7,3.6,Timberwolves
15,Luka Garza,24,8.7,.603,.788,2.3,0.6,6.5,Timberwolves
16,Matt Ryan,25,8.2,.585,.857,0.5,0.5,3.4,Timberwolves
17,Nathan Knight,25,7.7,.617,.684,1.5,0.3,3.7,Timberwolves
18,Josh Minott,20,6.4,.528,1.000,1.7,0.3,3.1,Timberwolves
19,Wendell Moore Jr.,21,5.3,.442,.800,0.6,0.6,1.4,Timberwolves
20,A.J. Lawson,22,2.0,1.000,,1.0,0.0,2.0,Timberwolves
1,CJ McCollum,31,35.3,.515,.769,4.4,5.7,20.9,Pelicans
2,Brandon Ingram,25,34.2,.522,.882,5.5,5.8,24.7,Pelicans
3,Zion Williamson,22,33.0,.615,.714,7.0,4.6,26.0,Pelicans
4,Trey Murphy III,22,31.0,.610,.905,3.6,1.4,14.5,Pelicans
5,Herbert Jones,24,29.6,.525,.764,4.1,2.5,9.8,Pelicans
6,Jonas Valančiūnas,30,24.9,.570,.826,10.2,1.8,14.1,Pelicans
7,Naji Marshall,25,23.3,.490,.789,3.6,2.5,9.1,Pelicans
8,Josh Richardson,29,23.2,.530,.762,2.4,1.6,7.5,Pelicans
9,Jose Alvarado,24,21.5,.496,.813,2.3,3.0,9.0,Pelicans
10,Larry Nance Jr.,30,21.2,.633,.696,5.4,1.8,6.8,Pelicans
11,Dyson Daniels,19,17.7,.483,.650,3.2,2.3,3.8,Pelicans
12,Devonte' Graham,27,15.3,.511,.746,1.4,2.2,5.3,Pelicans
13,Jaxson Hayes,22,13.0,.561,.699,2.8,0.7,5.0,Pelicans
14,Willy Hernangómez,28,12.1,.536,.779,4.7,0.9,6.9,Pelicans
15,Kira Lewis Jr.,21,9.4,.540,.864,1.3,0.9,4.6,Pelicans
16,Garrett Temple,36,6.5,.522,.750,0.7,0.5,2.0,Pelicans
17,Dereon Seabron,22,2.4,.400,,0.2,0.0,0.8,Pelicans
1,Shai Gilgeous-Alexander,24,35.5,.531,.905,4.8,5.5,31.4,Thunder
2,Josh Giddey,20,31.1,.516,.731,7.9,6.2,16.6,Thunder
3,Luguentz Dort,23,30.7,.466,.772,4.6,2.1,13.7,Thunder
4,Jalen Williams,21,30.3,.567,.812,4.5,3.3,14.1,Thunder
5,Kenrich Williams,28,22.8,.590,.436,4.9,2.0,8.0,Thunder
6,Aleksej Pokusevski,21,20.6,.510,.629,4.7,1.9,8.1,Thunder
7,Isaiah Joe,23,19.1,.599,.820,2.4,1.2,9.5,Thunder
8,Jeremiah Robinson-Earl,22,18.9,.518,.833,4.2,1.0,6.8,Thunder
9,Jaylin Williams,20,18.7,.534,.704,4.9,1.6,5.9,Thunder
10,Aaron Wiggins,24,18.5,.579,.831,3.0,1.1,6.8,Thunder
11,Tre Mann,21,17.7,.474,.764,2.3,1.8,7.7,Thunder
12,Darius Bazley,22,15.4,.506,.554,3.4,0.9,5.4,Thunder
13,Ousmane Dieng,19,14.6,.492,.652,2.7,1.2,4.9,Thunder
14,Mike Muscala,31,14.5,.576,.795,3.1,0.9,6.2,Thunder
15,Dario Šarić,28,13.7,.606,.844,3.3,0.9,7.4,Thunder
16,Lindy Waters III,25,13.0,.556,.800,1.8,0.7,5.2,Thunder
17,Jared Butler,22,12.8,.578,,0.7,1.3,6.2,Thunder
18,Olivier Sarr,23,12.7,.517,.714,3.4,0.4,4.0,Thunder
19,Eugene Omoruyi,25,11.8,.511,.607,2.3,0.5,4.9,Thunder
1,Kyrie Irving,30,38.2,.586,.947,5.0,6.0,27.0,Mavericks
2,Luka Dončić,23,36.2,.560,.742,8.6,8.0,32.4,Mavericks
3,Spencer Dinwiddie,29,34.1,.555,.821,3.1,5.3,17.7,Mavericks
4,Dorian Finney-Smith,29,32.2,.540,.750,4.7,1.5,9.1,Mavericks
5,Reggie Bullock,31,30.3,.569,.703,3.6,1.4,7.2,Mavericks
6,Tim Hardaway Jr.,30,30.3,.527,.770,3.5,1.8,14.4,Mavericks
7,Christian Wood,27,25.9,.583,.772,7.3,1.8,16.6,Mavericks
8,Josh Green,22,25.7,.626,.723,3.0,1.7,9.1,Mavericks
9,Maxi Kleber,31,25.1,.571,.711,3.6,1.4,5.9,Mavericks
10,Dwight Powell,31,19.2,.732,.667,4.1,0.9,6.7,Mavericks
