Player,Position,Height,Weight,Team,Rk,Age,MP,eFG%,TRB,AST,PTS,Coach-Playoff
Daishen Nix,PG,6-5,224,Minnesota Timberwolves,9,20,16.0,0.426,1.7,2.3,4.0,2
Jaden McDaniels,SF,6-9,185,Minnesota Timberwolves,6,22,30.6,0.591,3.9,1.9,12.1,2
Anthony Davis,C,6-10,253,Los Angeles Lakers,2,29,38.0,0.53,14.1,2.6,22.6,1
LeBron James,PF,6-9,250,Los Angeles Lakers,1,38,38.7,0.546,9.9,6.5,24.5,1
D'Angelo Russell,PG,6-4,193,Los Angeles Lakers,4,26,29.6,0.495,2.9,4.6,13.3,1
D'Angelo Russell,PG,6-4,193,Los Angeles Lakers,3,26,32.9,0.567,3.1,6.2,17.9,1
Austin Reaves,SG,6-5,206,Los Angeles Lakers,3,24,36.2,0.564,4.4,4.6,16.9,1
Taurean Prince,PF,6-7,218,Los Angeles Lakers,8,28,22.1,0.565,2.4,1.6,9.1,1
Christian Wood,PF,6-10,214,Los Angeles Lakers,7,27,25.9,0.583,7.3,1.8,16.6,1
Rui Hachimura,PF,6-8,230,Los Angeles Lakers,6,24,24.3,0.63,3.6,0.6,12.2,1
Cam Reddish,SF,6-8,218,Los Angeles Lakers,7,23,27.6,0.523,2.9,1.9,11.0,1
Jaxson Hayes,C,6-11,220,Los Angeles Lakers,13,22,13.0,0.561,2.8,0.7,5.0,1
Jarred Vanderbilt,PF,6-9,214,Los Angeles Lakers,7,23,16.5,0.458,3.2,0.8,4.6,1
Jarred Vanderbilt,PF,6-9,214,Los Angeles Lakers,7,23,24.1,0.587,7.9,2.7,8.3,1
Kawhi Leonard,SF,6-7,225,Los Angeles Clippers,1,31,40.0,0.614,6.5,6.0,34.5,5
Bones Hyland,PG,6-3,173,Los Angeles Clippers,10,22,16.4,0.398,0.8,0.8,8.6,5
Norman Powell,SG,6-3,215,Los Angeles Clippers,3,29,33.4,0.559,3.0,2.2,21.8,5
Ivica Zubac,C,7-0,240,Los Angeles Clippers,6,25,26.0,0.567,9.6,0.6,9.2,5
Russell Westbrook,PG,6-3,200,Los Angeles Clippers,2,34,38.4,0.457,7.6,7.4,23.6,5
Mason Plumlee,C,6-11,254,Los Angeles Clippers,9,32,18.2,0.875,6.8,1.8,8.2,5
Nicolas Batum,PF,6-8,230,Los Angeles Clippers,8,34,18.4,0.579,2.2,1.2,4.4,5
Kenyon Martin Jr.,SF,6-6,215,Los Angeles Clippers,6,22,28.0,0.617,5.5,1.5,12.7,5
Terance Mann,SG,6-5,215,Los Angeles Clippers,5,26,26.6,0.712,3.2,2.2,10.6,5
Marcus Morris,PF,6-8,218,Los Angeles Clippers,7,33,22.7,0.379,4.0,0.0,8.7,5
De'Aaron Fox,PG,6-3,185,Sacramento Kings,1,25,38.6,0.488,5.4,7.7,27.4,7
Harrison Barnes,PF,6-8,225,Sacramento Kings,4,30,28.0,0.467,3.4,0.7,10.7,7
Domantas Sabonis,C,6-11,240,Sacramento Kings,2,26,34.7,0.5,11.0,4.7,16.4,7
Keegan Murray,SF,6-8,215,Sacramento Kings,5,22,27.7,0.552,6.3,0.7,9.7,7
Malik Monk,SG,6-3,200,Sacramento Kings,3,24,29.3,0.478,5.4,3.6,19.0,7
Kevin Huerter,SG,6-7,190,Sacramento Kings,6,24,26.1,0.403,4.4,1.1,9.1,7
Davion Mitchell,PG,6-2,205,Sacramento Kings,7,24,20.0,0.489,1.3,1.7,7.1,7
Trey Lyles,PF,6-9,234,Sacramento Kings,8,27,16.9,0.538,5.7,0.7,6.6,7
Devin Vassell,SG,6-5,200,San Antonio Spurs,2,22,31.0,0.525,3.9,3.6,18.5,22
Keldon Johnson,SF,6-5,220,San Antonio Spurs,1,23,32.7,0.512,5.0,2.9,22.0,22
Jeremy Sochan,PF,6-9,230,San Antonio Spurs,6,19,26.0,0.483,5.3,2.5,11.0,22
Zach Collins,C,6-11,250,San Antonio Spurs,11,25,22.9,0.568,6.4,2.9,11.6,22
Tre Jones,PG,6-1,185,San Antonio Spurs,3,23,29.2,0.489,3.6,6.6,12.9,22
Malaki Branham,SG,6-5,180,San Antonio Spurs,8,19,23.5,0.503,2.7,1.9,10.2,22
Doug McDermott,SF,6-7,225,San Antonio Spurs,14,31,20.5,0.575,2.2,1.4,10.2,22
Charles Bassey,C,6-11,235,San Antonio Spurs,19,22,14.5,0.656,5.5,1.3,5.7,22
Blake Wesley,SG,6-5,185,San Antonio Spurs,16,19,18.1,0.367,2.2,2.7,5.0,22
Julian Champagnie,SF,6-8,220,San Antonio Spurs,13,21,20.9,0.59,4.0,0.7,11.0,22
Devonte' Graham,PG,6-1,195,San Antonio Spurs,12,27,15.3,0.511,1.4,2.2,5.3,22
Devonte' Graham,PG,6-1,195,San Antonio Spurs,4,27,26.4,0.513,2.5,4.0,13.0,22
Sandro Mamukelashvili,C,6-11,240,San Antonio Spurs,10,23,23.3,0.52,6.8,2.4,10.8,22
Stephen Curry,PG,6-2,185,Golden State Warriors,1,34,37.9,0.558,5.2,6.1,30.5,7
Klay Thompson,SF,6-6,215,Golden State Warriors,2,32,36.0,0.502,4.2,2.2,18.5,7
Chris Paul,PG,6-0,175,Golden State Warriors,3,37,35.7,0.467,5.0,7.4,12.4,7
Moses Moody,SG,6-6,205,Golden State Warriors,9,20,13.4,0.686,2.6,0.7,5.8,7
