"Team","Player_Total_Score","score_Coach_Playoff","score_num_playoffs","Total_Score"
"Denver Nuggets",26.6811594202899,0.72463768115942,0.492753623188406,27.8985507246377
"Minnesota Timberwolves",25.8333333333333,0.5,0.195652173913043,26.5289855072464
"Los Angeles Lakers",24.8333333333333,0.420289855072464,1,26.2536231884058
"New Orleans Pelicans",24.8913043478261,0.420289855072464,0.0652173913043478,25.3768115942029
"Memphis Grizzlies",24.1739130434783,0.550724637681159,0.195652173913043,24.9202898550725
"LA Clippers",23.4565217391304,0.72463768115942,0.268115942028986,24.4492753623188
"Oklahoma City Thunder",23.3768115942029,0.202898550724638,0.789855072463768,24.3695652173913
"Utah Jazz",23.1521739130435,0.202898550724638,0.630434782608696,23.9855072463768
"San Antonio Spurs",21.7971014492754,1,0.876811594202899,23.6739130434783
"Dallas Mavericks",22.6304347826087,0.601449275362319,0.442028985507246,23.6739130434783
"Phoenix Suns",22.1666666666667,0.91304347826087,0.557971014492754,23.6376811594203
"Houston Rockets",22.4420289855072,0.420289855072464,0.702898550724638,23.5652173913043
"Sacramento Kings",22.3115942028986,0.91304347826087,0.326086956521739,23.5507246376812
"Golden State Warriors",20.4130434782609,0.91304347826087,0.391304347826087,21.7173913043478
"Portland Trail Blazers",20.4347826086957,0.202898550724638,1,21.6376811594203
