Season,Team,GP,W,L,WIN%,PTS,PTS Rank,Division Rank,Division Count,Conference Rank,Conference Count,Playoff Record,Finals Result
2023-24,Sacramento Kings,11,7,4,.636,1275,27th,1st,5,5th,15,0 - 0,N/A
2022-23,Sacramento Kings,82,48,34,.585,9898,1st,1st,5,3rd,15,3 - 4,N/A
2005-06,Sacramento Kings,82,44,38,.537,8106,10th,4th,5,8th,15,2 - 4,N/A
2004-05,Sacramento Kings,82,50,32,.610,8505,2nd,2nd,5,6th,15,1 - 4,N/A
2003-04,Sacramento Kings,82,55,27,.671,8433,2nd,2nd,7,4th,14,7 - 5,N/A
2002-03,Sacramento Kings,82,59,23,.720,8342,3rd,1st,7,2nd,14,7 - 5,N/A
2001-02,Sacramento Kings,82,61,21,.744,8578,2nd,1st,7,1st,14,10 - 6,N/A
2000-01,Sacramento Kings,82,55,27,.671,8343,1st,2nd,7,3rd,14,3 - 5,N/A
1999-00,Sacramento Kings,82,44,38,.537,8607,1st,5th,7,8th,14,2 - 3,N/A
1998-99,Sacramento Kings,50,27,23,.540,5009,1st,3rd,7,6th,14,2 - 3,N/A
1995-96,Sacramento Kings,82,39,43,.476,8163,14th,5th,7,8th,14,1 - 3,N/A
1985-86,Sacramento Kings,82,37,45,.451,8924,15th,5th,6,7th,12,0 - 3,N/A
1983-84,Kansas City Kings,82,38,44,.463,9023,12th,3rd,6,7th,12,0 - 3,N/A
1982-83,Kansas City Kings,82,45,37,.549,9328,4th,2nd,6,6th,12,0 - 0,N/A
1980-81,Kansas City Kings,82,40,42,.488,8769,14th,2nd,6,5th,12,7 - 8,N/A
1979-80,Kansas City Kings,82,47,35,.573,8860,15th,2nd,5,5th,11,1 - 2,N/A
1978-79,Kansas City Kings,82,48,34,.585,9274,7th,1st,5,2nd,11,1 - 4,N/A
1976-77,Kansas City Kings,82,40,42,.488,8828,9th,4th,6,7th,11,0 - 0,N/A
1975-76,Kansas City Kings,82,31,51,.378,8474,12th,3rd,4,8th,9,0 - 0,N/A
1974-75,Kansas City-Omaha Kings,82,44,38,.537,8311,11th,2nd,4,3rd,9,2 - 4,N/A
