Season,Team,GP,W,L,WIN%,PTS,PTS Rank,Division Rank,Division Count,Conference Rank,Conference Count,Playoff Record,Finals Result
2017-18,New Orleans Pelicans,82,48,34,.585,9161,3rd,2nd,5,6th,15,5 - 4,N/A
2014-15,New Orleans Pelicans,82,45,37,.549,8147,16th,Last,5,8th,15,0 - 4,N/A
2010-11,New Orleans Hornets,82,46,36,.561,7784,27th,3rd,5,7th,15,2 - 4,N/A
2008-09,New Orleans Hornets,82,49,33,.598,7857,26th,4th,5,7th,15,1 - 4,N/A
2007-08,New Orleans Hornets,82,56,26,.683,8270,9th,1st,5,2nd,15,7 - 5,N/A
2003-04,New Orleans Hornets,82,41,41,.500,7529,17th,3rd,8,5th,15,3 - 4,N/A
2002-03,New Orleans Hornets,82,47,35,.573,7699,19th,3rd,8,5th,15,2 - 4,N/A
