Player,Position,Weight,Team,Rk,Age,MP,eFG%,TRB,AST,PTS,Coach-Playoff,Height,New_Rk
Luke Kennard,SG,206,Memphis Grizzlies,6,26,21.4,0.696,4.0,1.4,7.2,3,195.58,5
Santi Aldama,PF,224,Memphis Grizzlies,8,22,16.8,0.561,4.3,1.2,6.5,3,210.82,6
David Roddy,PF,255,Memphis Grizzlies,9,21,12.7,0.379,2.8,0.7,3.8,3,198.12,7
Anthony Edwards,SG,225,Minnesota Timberwolves,1,21,36.0,0.528,5.8,4.4,24.6,2,193.04,1
Karl-Anthony Towns,PF,248,Minnesota Timberwolves,2,27,33.0,0.565,8.1,4.8,20.8,2,210.82,2
Mike Conley,PG,175,Minnesota Timberwolves,4,35,31.4,0.583,3.1,5.0,14.0,2,185.42,3
Rudy Gobert,C,258,Minnesota Timberwolves,5,30,30.7,0.659,11.6,1.2,13.4,2,215.9,4
Jaden McDaniels,SF,185,Minnesota Timberwolves,6,22,30.6,0.591,3.9,1.9,12.1,2,205.74,5
Kyle Anderson,PF,230,Minnesota Timberwolves,7,29,28.4,0.553,5.3,4.9,9.4,2,205.74,6
Daishen Nix,PG,224,Minnesota Timberwolves,9,20,16.0,0.426,1.7,2.3,4.0,2,195.58,7
Troy Brown Jr.,SF,215,Minnesota Timberwolves,9,23,10.3,0.393,2.0,0.9,1.8,2,198.12,8
Naz Reid,C,264,Minnesota Timberwolves,11,23,18.4,0.602,4.9,1.1,11.5,2,205.74,9
Jordan McLaughlin,PG,185,Minnesota Timberwolves,12,26,15.8,0.503,1.4,3.4,3.7,2,180.34,10
Nickeil Alexander-Walker,SG,205,Minnesota Timberwolves,16,24,14.7,0.591,1.6,2.1,6.3,2,198.12,11
CJ McCollum,SG,190,New Orleans Pelicans,1,31,35.3,0.515,4.4,5.7,20.9,1,190.5,1
Brandon Ingram,SF,190,New Orleans Pelicans,2,25,34.2,0.522,5.5,5.8,24.7,1,203.2,2
