Season,Team,GP,W,L,WIN%,PTS,PTS_Rank,Division_Rank,Division_Count,Conference_Rank,Conference_Count,Finals_Result
2017-18,New Orleans Pelicans,82,48,34,0.585,9161,3rd,2nd,5,6th,15,
2014-15,New Orleans Pelicans,82,45,37,0.549,8147,16th,Last,5,8th,15,
2010-11,New Orleans Pelicans,82,46,36,0.561,7784,27th,3rd,5,7th,15,
2008-09,New Orleans Pelicans,82,49,33,0.598,7857,26th,4th,5,7th,15,
2007-08,New Orleans Pelicans,82,56,26,0.683,8270,9th,1st,5,2nd,15,
2003-04,New Orleans Pelicans,82,41,41,0.5,7529,17th,3rd,8,5th,15,
2002-03,New Orleans Pelicans,82,47,35,0.573,7699,19th,3rd,8,5th,15,
